Run	Library	Gene	Adapter.Order	Adapter	Primer.Tag.Number	MLID	Country	Ocean	Locality	Site	Subsite	Ecosystem	Habitat	Size	Fraction	Sample	Note
BCS_01	1	COI	1	AR002	1	ML0746	Panama	Atlantic	Bocas del Toro	SIS	B	Coral reef	Coral	500-2000	Motile	Primary	NA
BCS_01	1	COI	1	AR002	2	ML0756	Panama	Atlantic	Bocas del Toro	RNW	B	Coral reef	Coral	500-2000	Motile	Primary	NA
BCS_01	1	COI	1	AR002	3	ML0689	Panama	Atlantic	Bocas del Toro	MAR	B	Coral reef	Sediment	>45	Interstitial	Primary	NA
BCS_01	1	COI	1	AR002	4	ML0699	Panama	Atlantic	Bocas del Toro	MYS	A	Coral reef	Sediment	>45	Interstitial	Primary	NA
BCS_01	1	COI	1	AR002	5	ML0709	Panama	Atlantic	Bocas del Toro	PJN	B	Coral reef	Sediment	>45	Interstitial	Primary	NA
BCS_01	1	COI	1	AR002	6	ML0719	Panama	Atlantic	Bocas del Toro	RNW	A	Coral reef	Sediment	>45	Interstitial	Primary	NA
BCS_01	1	COI	1	AR002	7	ML0645	Panama	Atlantic	Bocas del Toro	MAR	B	Coral reef	Coral	>45	Sessile	Primary	NA
BCS_01	1	COI	1	AR002	8	ML0657	Panama	Atlantic	Bocas del Toro	PBL	A	Coral reef	Coral	>45	Sessile	Primary	NA
BCS_01	1	COI	1	AR002	9	ML0667	Panama	Atlantic	Bocas del Toro	ALR	A	Coral reef	Coral	>45	Sessile	Primary	NA
BCS_01	1	COI	1	AR002	10	ML0679	Panama	Atlantic	Bocas del Toro	SGL	C	Coral reef	Coral	>45	Sessile	Primary	NA
BCS_01	1	COI	2	AR004	1	ML0747	Panama	Atlantic	Bocas del Toro	ALR	C	Coral reef	Coral	500-2000	Motile	Primary	NA
BCS_01	1	COI	2	AR004	2	ML0757	Panama	Atlantic	Bocas del Toro	PPR	B	Coral reef	Coral	500-2000	Motile	Primary	NA
BCS_01	1	COI	2	AR004	3	ML0690	Panama	Atlantic	Bocas del Toro	PBL	C	Coral reef	Sediment	>45	Interstitial	Primary	NA
BCS_01	1	COI	2	AR004	4	ML0700	Panama	Atlantic	Bocas del Toro	IPI	A	Coral reef	Sediment	>45	Interstitial	Primary	NA
BCS_01	1	COI	2	AR004	5	ML0710	Panama	Atlantic	Bocas del Toro	IPI	C	Coral reef	Sediment	>45	Interstitial	Primary	NA
BCS_01	1	COI	2	AR004	6	ML0720	Panama	Atlantic	Bocas del Toro	MYS	B	Coral reef	Sediment	>45	Interstitial	Primary	NA
BCS_01	1	COI	2	AR004	7	ML0648	Panama	Atlantic	Bocas del Toro	SCR	B	Coral reef	Coral	>45	Sessile	Primary	NA
BCS_01	1	COI	2	AR004	8	ML0658	Panama	Atlantic	Bocas del Toro	IPI	C	Coral reef	Coral	>45	Sessile	Primary	NA
BCS_01	1	COI	2	AR004	9	ML0668	Panama	Atlantic	Bocas del Toro	RNW	A	Coral reef	Coral	>45	Sessile	Primary	NA
BCS_01	1	COI	2	AR004	10	ML0680	Panama	Atlantic	Bocas del Toro	PBL	C	Coral reef	Coral	>45	Sessile	Primary	NA
BCS_01	1	COI	3	AR005	1	ML0748	Panama	Atlantic	Bocas del Toro	MAR	B	Coral reef	Coral	500-2000	Motile	Primary	NA
